Frame,latitude,longitude,depth,mag
32,-16.6409,-173.5706,35,5.3
32,-22.4736,-68.4882,126.95,4.5
32,1.1226,127.0574,35,4.6
32,-15.6539,-174.9263,272.58,5.4
32,-2.8248,100.0068,10,5.2
32,70.0286,-15.886,10,4.9
32,-2.8462,100.0743,20,6
32,-2.6743,100.2937,10,4.9
32,-2.876,100.0594,10,5.3
32,-2.8385,100.0637,10,4.7
32,70.0056,-15.4853,10,4.5
32,-2.8764,100.1326,18,5.9
32,-2.7308,100.3019,10,5.8
32,-2.7179,100.1812,10,4.5
33,36.4642,70.7006,211.72,5.6
33,37.1561,35.7871,10,4.5
33,-2.9676,100.0958,10,5.1
33,-2.9395,99.8954,10,4.6
33,-41.3352,-88.2731,10,5.5
33,35.5563,141.106,32.83,5
33,-2.8778,100.0118,10,4.8
33,-15.4684,-176.0379,353.3,4.6
33,37.1023,141.2681,56.16,4.8
33,-31.3665,-71.8131,27.34,4.8
33,-2.6511,-78.5322,94.27,4.9
33,9.925,126.0238,48.93,4.6
33,52.1519,174.0483,40.07,5
33,-33.9495,-179.5192,35,4.9
33,-59.6442,-23.6824,10,4.5
33,-5.749,153.8052,10,4.5
33,-3.2836,130.7595,10,5.4
33,0.0857,124.4082,72.31,4.5
34,-58.7881,-25.2734,26.44,4.6
34,-58.7581,-25.3568,31.21,4.5
34,-2.6973,141.7246,10,4.9
34,19.9048,122.0871,9.39,4.5
34,14.3434,125.7611,10,4.5
